Field	Subfield	In Records	Total
000		3711	3711
005		3711	3711
006		3711	3711
007		3711	3711
008		3711	3711
010		2	2
	$z		2
019		4	4
	$a		10
020		10	19
	$z		19
024		3711	3716
	$2		3716
	$a		3716
035		3711	3711
	$a		3711
	$z		10
037		3	3
	$b		2
	$a		1
040		3711	3711
	$b		3711
	$c		3711
	$a		3711
	$d		34
	$e		8
041		206	206
	$b		20
	$h		90
	$a		324
042		3	3
	$a		3
043		750	750
	$a		995
045		4	4
	$a		4
050		2811	2887
	$b		2876
	$a		2889
051		3	3
	$b		2
	$c		3
	$a		2
060		7	7
	$b		6
	$a		7
070		1	1
	$b		1
	$a		1
072		1	1
	$a		1
082		301	301
	$2		241
	$b		39
	$a		302
090		1	1
	$b		1
	$a		1
100		3510	3510
	$4		1
	$6		3471
	$a		3510
	$q		21
	$d		1982
	$e		280
	$c		33
	$b		1
110		55	55
	$b		17
	$6		53
	$a		55
	$t		1
	$e		13
111		14	14
	$c		14
	$a		14
	$6		14
	$d		14
	$n		11
130		42	42
	$a		42
	$p		7
	$f		10
	$6		23
	$k		1
	$n		1
	$l		15
240		519	519
	$6		463
	$a		519
	$f		22
	$d		1
	$n		3
	$k		34
	$p		3
	$l		59
	$m		1
245		3711	3711
	$b		917
	$c		3280
	$a		3711
	$6		3678
	$h		651
	$p		2
246		634	765
	$6		503
	$i		62
	$a		765
	$b		27
250		1113	1113
	$6		1103
	$b		2
	$a		1113
260		3375	3376
	$b		3282
	$c		3383
	$a		3366
	$f		61
	$6		3253
	$e		60
264		334	358
	$6		356
	$c		346
	$b		355
	$a		356
300		3704	3704
	$b		867
	$6		232
	$a		3704
	$f		1
	$e		3
336		3065	3065
	$2		3065
	$b		1
	$a		3065
337		3065	3065
	$2		3065
	$b		1
	$a		3065
338		3065	3065
	$2		3065
	$b		1
	$a		3065
490		2	2
	$6		2
	$v		1
	$a		2
500		3710	5529
	$5		3710
	$6		142
	$a		5529
501		2	3
	$a		3
502		5	5
	$b		1
	$c		1
	$a		4
504		1046	1049
	$a		1049
505		164	166
	$r		3
	$a		163
	$g		7
	$t		10
	$6		47
506		4	6
	$a		3
	$f		6
	$5		6
	$2		6
	$3		3
510		1	1
	$c		1
	$a		1
515		1	1
	$a		1
520		8	8
	$a		8
533		3710	3713
	$b		3713
	$c		3713
	$a		3713
	$5		3713
	$d		3713
534		30	30
	$b		2
	$c		25
	$n		1
	$p		30
538		3	3
	$5		3
	$a		3
	$u		3
541		2	2
	$a		2
546		228	231
	$a		231
561		2	2
	$a		2
583		11	14
	$c		13
	$a		14
	$5		13
	$k		1
	$h		3
	$2		13
	$l		3
585		1	1
	$a		1
588		10	10
	$a		10
600		776	1318
	$c		324
	$a		1318
	$f		1
	$d		1171
	$e		2
	$z		4
	$2		413
	$0		407
	$x		88
	$6		678
	$q		5
	$v		63
	$t		292
	$k		1
	$b		30
610		58	99
	$b		16
	$6		33
	$a		99
	$v		9
	$z		3
	$x		18
	$y		1
	$2		34
	$0		34
611		23	26
	$6		1
	$a		26
	$d		7
	$2		25
	$0		25
630		312	468
	$6		16
	$a		468
	$f		1
	$v		114
	$x		122
	$p		32
	$2		229
	$l		5
	$0		229
648		176	176
	$2		176
	$a		176
650		2411	5734
	$6		245
	$a		5734
	$v		851
	$z		487
	$x		1538
	$y		127
	$2		2484
	$0		2476
651		792	1535
	$6		102
	$a		1535
	$v		152
	$z		192
	$x		707
	$y		153
	$2		718
	$0		713
653		21	22
	$6		2
	$a		38
655		1097	1212
	$6		23
	$a		1212
	$v		7
	$z		10
	$y		7
	$2		1208
	$0		1119
700		1126	1536
	$c		19
	$a		1536
	$f		19
	$d		626
	$e		123
	$6		1474
	$p		1
	$q		28
	$t		337
	$k		4
	$i		1
	$l		6
	$b		1
710		3711	7486
	$b		3514
	$6		52
	$a		7486
	$5		7422
	$t		7
	$l		1
711		1	1
	$d		1
	$c		1
	$n		1
	$a		1
730		14	15
	$a		15
	$p		2
	$f		1
	$6		11
	$l		3
740		195	238
	$6		163
	$a		238
752		15	15
	$d		14
	$a		15
776		3711	4877
	$d		1166
	$6		1
	$s		114
	$a		4707
	$w		8238
	$t		4877
	$z		19
	$i		4877
	$b		381
800		1	1
	$v		1
	$a		1
	$t		1
810		7	7
	$b		7
	$a		7
	$v		5
	$t		7
	$p		1
830		35	39
	$a		39
	$p		10
	$v		27
	$t		1
	$6		3
	$n		1
856		3711	3731
	$y		3718
	$3		20
	$u		3731
880		3689	16350
	$c		7274
	$a		16349
	$f		94
	$g		22
	$d		2606
	$e		380
	$2		2
	$z		51
	$x		209
	$y		20
	$4		3
	$6		16350
	$r		7
	$p		7
	$q		15
	$v		84
	$w		1
	$t		595
	$k		33
	$h		3
	$i		24
	$n		15
	$l		22
	$b		4591
