Field	Subfield	In Records	Total
000		3711	3711
001		3711	3711
003		3711	3711
006		3711	3711
007		3711	3711
008		3711	3711
010		2	2
	$z		2
020		10	19
	$z		19
024		5	5
	$2		5
	$a		5
037		3	3
	$b		2
	$a		1
040		3711	3711
	$b		3711
	$e		3064
	$c		3711
	$a		3711
041		206	206
	$b		20
	$h		90
	$a		324
043		750	750
	$a		995
045		4	4
	$a		4
050		2811	2887
	$b		2876
	$a		2889
051		3	3
	$b		2
	$c		3
	$a		2
060		7	7
	$b		6
	$a		7
066		477	477
	$c		482
070		1	1
	$b		1
	$a		1
072		1	1
	$a		1
082		301	301
	$2		241
	$b		39
	$a		302
084		17	22
	$2		22
	$a		22
090		410	411
	$b		411
	$a		411
092		8	8
	$2		4
	$b		4
	$a		8
100		3510	3510
	$4		1
	$6		3471
	$a		3510
	$q		20
	$d		1982
	$e		280
	$c		33
	$b		1
110		55	55
	$b		17
	$6		53
	$a		55
	$t		1
	$e		13
111		14	14
	$c		14
	$a		14
	$6		14
	$d		14
	$n		11
130		42	42
	$a		42
	$p		7
	$f		10
	$6		23
	$k		1
	$n		1
	$l		15
240		519	519
	$6		463
	$a		519
	$f		22
	$d		1
	$n		3
	$k		34
	$p		3
	$l		59
	$m		1
245		3711	3711
	$b		917
	$c		3280
	$a		3711
	$6		3678
	$h		652
	$p		2
246		634	765
	$6		503
	$i		62
	$a		765
	$b		27
250		1113	1113
	$6		1103
	$b		2
	$a		1113
260		3375	3376
	$b		3282
	$c		3383
	$a		3366
	$f		61
	$6		3253
	$e		60
264		334	358
	$6		356
	$c		346
	$b		355
	$a		356
300		3704	3704
	$b		867
	$6		232
	$a		3704
	$f		1
	$e		3
336		3064	3064
	$2		3064
	$a		3064
337		3064	3064
	$2		3064
	$a		3064
338		3064	3064
	$2		3064
	$a		3064
490		36	37
	$6		2
	$v		26
	$a		39
500		3711	5534
	$5		4
	$6		142
	$a		5534
501		2	3
	$a		3
502		5	5
	$b		1
	$c		1
	$a		4
504		1046	1049
	$a		1049
505		164	166
	$r		3
	$a		163
	$g		7
	$t		10
	$6		47
510		1	1
	$c		1
	$a		1
515		1	1
	$a		1
520		8	8
	$a		8
533		3711	3711
	$b		3711
	$c		3711
	$a		3711
	$5		3711
	$d		3711
534		30	30
	$b		2
	$c		25
	$n		1
	$p		30
541		2	2
	$a		2
546		227	230
	$a		230
561		4	4
	$5		2
	$a		4
583		2	2
	$2		1
	$k		1
	$c		1
	$5		1
	$a		2
585		1	1
	$a		1
590		1	1
	$a		1
600		776	1319
	$c		323
	$a		1319
	$f		1
	$d		1171
	$e		2
	$z		4
	$2		413
	$0		407
	$x		88
	$6		679
	$q		4
	$v		63
	$t		292
	$k		1
	$b		30
610		58	99
	$b		16
	$6		33
	$a		99
	$v		9
	$z		3
	$x		18
	$y		1
	$2		34
	$0		34
611		23	26
	$6		1
	$a		26
	$d		7
	$2		25
	$0		25
630		312	466
	$6		16
	$a		466
	$f		1
	$v		114
	$x		122
	$p		32
	$2		227
	$l		5
	$0		227
648		176	176
	$2		176
	$a		176
650		2410	5728
	$6		245
	$a		5728
	$v		848
	$z		487
	$x		1537
	$y		125
	$2		2482
	$0		2460
651		792	1535
	$6		102
	$a		1535
	$v		151
	$z		193
	$x		708
	$y		153
	$2		718
	$0		710
653		21	22
	$6		2
	$a		38
655		1095	1210
	$6		23
	$a		1210
	$v		7
	$z		10
	$y		7
	$2		1185
	$0		1116
700		1126	1536
	$c		19
	$a		1536
	$f		19
	$d		626
	$e		123
	$6		1474
	$p		1
	$q		28
	$t		337
	$k		4
	$i		1
	$l		6
	$b		1
710		3711	3777
	$b		3513
	$6		52
	$a		3777
	$5		3
	$t		7
	$l		1
711		1	1
	$d		1
	$c		1
	$n		1
	$a		1
730		3711	3726
	$a		3726
	$p		3
	$f		1
	$6		11
	$l		3
740		195	238
	$6		163
	$a		238
752		15	15
	$d		14
	$a		15
776		3711	4877
	$d		1166
	$6		1
	$s		114
	$a		4707
	$w		8238
	$t		4877
	$z		19
	$i		4877
	$b		381
800		1	1
	$v		1
	$a		1
	$t		1
810		7	7
	$b		7
	$a		7
	$v		5
	$t		7
	$p		1
830		35	39
	$a		39
	$p		10
	$v		27
	$t		1
	$6		3
	$n		1
856		3711	3714
	$3		2
	$a		1
	$u		3713
880		3689	16349
	$c		7274
	$a		16348
	$f		94
	$g		22
	$d		2606
	$e		380
	$2		2
	$z		51
	$x		209
	$y		20
	$4		3
	$6		16349
	$r		7
	$p		7
	$q		15
	$v		84
	$w		1
	$t		595
	$k		33
	$h		3
	$i		24
	$n		15
	$l		22
	$b		4591
902		2	2
	$b		2
	$7		2
	$a		2
	$f		2
	$d		2
	$e		2
904		1	1
	$b		1
	$h		1
	$c		1
	$a		1
	$e		1
911		3	3
	$a		3
912		3	3
	$a		3
948		1	1
	$a		1
952		1	1
	$c		1
	$a		1
	$8		1
	$9		1
	$d		1
	$0		1
	$1		1
	$6		1
	$7		1
	$4		1
	$y		1
	$#		1
	$o		1
	$l		1
	$m		1
959		3711	3711
	$b		3711
	$c		3711
	$s		3711
	$a		3711
	$t		3711
	$m		3711
999		3711	3711
	$s		7483
	$e		2096
	$i		3711
	$o		2426
